Frame,Timestamp,ValidPixelsOrig(%),ValidPixelsEnh(%),ValidIncrease(%),HolesOrig,HolesEnh,HolesFilled,MeanDepthOrig,MeanDepthEnh,StdOrig,StdEnh,NoiseReduction(%),EdgeStdOrig,EdgeStdEnh,ProcessingTime(ms),TrackedFeatures,TrackingState
336,1754835686.2519,81.7458,99.1257,17.3799,56077,2686,53391,0.8516,0.8383,0.4155,0.3822,8.0228,0.2667,0.2287,51.4672,81,OK
426,1754835687.7549,95.6637,99.5329,3.8691,13321,1435,11886,1.4705,1.3530,0.4355,0.4088,6.1524,0.4821,0.4223,35.7732,529,OK
428,1754835687.7883,95.4111,99.5605,4.1494,14097,1350,12747,1.4696,1.6250,0.4334,0.4209,2.8891,0.4689,0.4772,39.1770,408,OK
430,1754835687.8550,93.7139,99.4948,5.7809,19311,1552,17759,1.4580,1.3504,0.4347,0.4016,7.6241,0.4743,0.3664,37.3459,457,OK
432,1754835687.8882,93.3630,99.5579,6.1950,20389,1358,19031,1.4491,1.3372,0.4387,0.4128,5.9006,0.4795,0.3621,39.7280,560,OK
434,1754835687.9548,92.4704,99.1409,6.6706,22941,2619,20322,1.4339,1.3128,0.4409,0.4056,7.9900,0.4696,0.3510,51.2351,393,OK
436,1754835688.0213,92.2090,99.0186,6.8096,23934,3015,20919,1.4158,1.3264,0.4676,0.3536,24.3739,0.4856,0.3262,43.6574,510,OK
438,1754835688.0546,92.2695,98.9007,6.6312,23048,3377,19671,1.4141,1.3327,0.5307,0.3571,32.7173,0.4883,0.3450,41.5959,543,OK
440,1754835688.1211,91.6051,99.2145,7.6094,25789,2413,23376,1.3994,1.3383,0.4588,0.3576,22.0526,0.4764,0.3328,42.1003,482,OK
442,1754835688.1876,92.0527,99.3600,7.3073,24414,1966,22448,1.3849,1.3308,0.4743,0.3603,24.0365,0.4913,0.3359,43.4243,508,OK
444,1754835688.2209,91.4873,99.2825,7.7952,26151,2194,23957,1.3794,1.3257,0.4696,0.3617,22.9734,0.4704,0.3328,42.3910,379,OK
446,1754835688.2874,89.8522,98.6930,8.8408,31174,4015,27159,1.3442,1.2917,0.4841,0.3734,22.8750,0.4601,0.3496,42.3350,416,OK
448,1754835688.3539,87.9961,98.3753,10.3792,36876,4991,31885,1.2785,1.2520,0.4970,0.3881,21.9047,0.4356,0.3115,39.7531,514,OK
450,1754835688.3871,87.0719,98.7611,11.6891,39715,3806,35909,1.2328,1.2551,0.5113,0.2973,41.8430,0.4630,0.1983,54.9046,627,OK
452,1754835688.4536,87.5648,98.9147,11.3499,38201,3334,34867,1.1393,1.2182,0.5106,0.3009,41.0763,0.4833,0.2888,53.6367,897,OK
454,1754835688.5201,88.6885,98.6995,10.0111,34749,3995,30754,1.0939,1.2048,0.5004,0.2956,40.9221,0.4693,0.2485,55.1248,971,OK
456,1754835688.5866,89.4727,99.0212,9.5485,32340,3007,29333,1.0611,1.1947,0.4976,0.2990,39.9133,0.4348,0.2527,56.3772,996,OK
458,1754835688.6531,88.8870,99.1068,10.2197,34139,2744,31395,1.0417,1.1813,0.4995,0.3014,39.6539,0.4464,0.2511,54.0974,976,OK
460,1754835688.7196,89.7021,99.3535,9.6514,31635,1986,29649,0.9700,1.1564,0.4831,0.3063,36.5912,0.4357,0.2408,52.9042,972,OK
462,1754835688.7860,88.3730,99.4079,11.0348,35718,1813,33905,0.9280,0.7609,0.4732,0.4182,11.6171,0.4398,0.2788,50.3324,898,OK
466,1754835688.9193,82.2884,98.4137,16.1253,54410,4873,49537,0.7730,0.6429,0.3923,0.2827,27.9329,0.2382,0.1827,76.2217,869,OK
468,1754835689.0192,79.3151,99.4600,20.1449,63544,1659,61885,0.6572,0.5506,0.3253,0.2200,32.3675,0.2799,0.1947,73.4768,1186,OK
470,1754835689.0858,79.4743,99.9518,20.4775,63055,148,62907,0.6158,0.5318,0.2974,0.2064,30.6058,0.2450,0.1980,102.9271,1214,OK
474,1754835689.2522,84.7083,99.9801,15.2718,46976,61,46915,0.5628,0.4768,0.3251,0.1613,50.3967,0.2461,0.1503,110.5077,1189,OK
476,1754835689.3853,85.4769,99.9551,14.4782,44524,138,44386,0.4974,0.4553,0.3635,0.1493,58.9119,0.2024,0.1646,103.4340,1196,OK
478,1754835689.4851,90.3545,99.7012,9.3467,29356,918,28438,0.4500,0.4360,0.1757,0.1364,22.3649,0.1807,0.1345,114.3657,1203,OK
480,1754835689.6182,93.3001,99.6478,6.3477,20582,1082,19500,0.4257,0.4160,0.1599,0.1217,23.8931,0.1505,0.1126,110.3134,1188,OK
482,1754835689.7513,96.4329,99.6605,3.2275,10958,1043,9915,0.4016,0.4006,0.1117,0.1078,3.4772,0.1058,0.1026,112.6640,1200,OK
484,1754835689.8844,96.0339,99.6956,3.6618,12184,935,11249,0.3913,0.3893,0.1029,0.0979,4.8418,0.0955,0.0925,112.2956,1208,OK
486,1754835690.0177,94.6999,99.2035,4.5036,16282,2429,13853,0.3809,0.3778,0.0959,0.0901,6.0042,0.0895,0.0862,115.1606,1197,OK
488,1754835690.1509,93.7191,99.4753,5.7562,19295,1595,17700,0.3762,0.3729,0.0921,0.0872,5.3355,0.0801,0.0793,114.1428,1217,OK
490,1754835690.2842,92.8421,99.5566,6.7145,21989,1362,20627,0.3753,0.3720,0.0910,0.0860,5.4824,0.0801,0.0797,113.1989,1214,OK
